language,longitude,latitude
Old High German,10.0,52.0
Hidatsa,-102.5,47.0
Wipi Gamaewe,143.08,-8.75
Gbugyar,8.25,8.75
Quechua Yauyos Hongos,-75.77,-12.81
Nauna,148.3,-2.17
Northern Sotho,29.0,-24.0
Fali,13.5,9.33
Gamo Ningi,10.0,10.5
Bashkir,58.0,53.0
Central Pame,-99.44,21.47
Lomwe,37.0,-15.67
Sumau,145.5,-5.5
Arawum,145.94,-5.51
Jinghong Tai Lue,100.8,22.01
Ketengban Bime,140.5,-4.5
Fila,168.29,-17.68
Trumai,-53.58,-11.92
Ainu Asahikawa,142.37,43.77
Rere,30.47,11.87
Wumbvu 2,12.25,-2.42
Takarajima Japanese,129.2,29.13
Adang Pitung,124.47,-8.17
Kesu Khowar,71.8,35.63
Zarma,2.17,13.83
Bemba 1,30.0,-10.0
Bemba 2,30.0,-10.0
Piame,142.75,-4.83
Mato No Uwe,122.75,-5.6
Banggarla,137.0,-32.0
Nahuatl Sierra De Zacapoaxtla,-97.59,19.87
Mape,147.39,-6.32
Quechua North Junin Tarma,-75.69,-11.42
Jianchuan Bai 2,99.74,26.42
Zhenfeng Hmong,105.64,25.39
Tamil,78.5,11.0
Kalanga,27.5,-20.5
Cubeo 2,-70.5,1.33
Ilir Komering,105.0,-4.0
Pare 2,36.5,-4.0
Kirmanjki,39.3,39.1
Manambu,142.83,-4.25
Ukuriguma,145.5,-4.93
Shabo,35.42,7.58
Ewenki 1,117.0,49.0
Ewenki 2,122.08,52.18
Ziba,31.5,-2.0
Auran Kulon-pazeh,120.63,24.15
Koyo Ehambe Makua,15.67,-0.67
Mesmes,37.58,7.58
Northern Low Saxon,8.78,53.1
Erre,132.83,-12.25
Galician,-8.0,43.0
Cinda 5,6.0,10.33
Kanggape,144.83,-4.42
Cinda 1,6.0,10.33
Cinda 2,6.0,10.33
Libobi,18.75,3.25
Lashi,98.38,25.95
Puki,-69.0,-17.0
Slovenian,15.0,46.0
Tahane,127.5,0.0
Quechua Ancash Huaylas Pamparomas,-77.98,-9.07
Wagiman,131.25,-14.0
Enu,101.75,23.12
Nauete,126.75,-8.58
Sediq,121.42,24.17
Buyang,106.1,23.7
Kitja,127.75,-17.5
Mixtec Alcozauca,-98.42,17.33
Koma,33.75,8.75
Lamma Biangwala,124.0,-8.42
Camling,86.67,27.0
Komo,26.5,-0.25
Tonga,100.0,7.17
Avikam,-5.43,5.1
Tuam,148.0,-5.83
Afar,42.0,12.0
Asilulu Lima Rumahsosal Nuwetetu,128.0,-3.67
Gebe,129.8,-0.42
Noni,10.58,6.42
Quechua Imbabura,-78.0,0.33
Marquesan Nukuhiva,-140.08,-8.92
Mfinu Kifulunga,16.25,-4.25
Boruca,-83.25,8.83
Lokono,-55.17,5.5
Kapau,146.25,-7.5
Patep,146.58,-6.92
Mugil,145.75,-4.88
Whitesands Loniel,169.43,-19.48
Dyangadi,152.75,-30.75
Malagasy Fianarantsoa,47.09,-21.45
Nzwani,44.5,-12.1
Proto Western Punjabi,72.5,33.0
Mankon,10.0,6.2
Wanap,142.5,-3.5
Buli Ghana,-1.25,10.5
Canichana,-64.67,-16.71
Yahuna,70.48,-0.51
Sambe,8.23,10.16
Lengo,160.42,-9.5
Ningye,8.42,9.25
Abaza,42.0,44.0
Sausi,145.5,-5.75
Utoro,30.5,11.17
Lumun,30.25,10.83
Valpei,166.6,-14.68
Kemak,125.2,-8.92
Fukusato Miyako,125.4,24.73
Nggeri Ghari,159.75,-9.5
Sause,139.58,-3.17
Miriwung,129.0,-15.67
Fusui Central Hongshuihe Zhuang,108.2,22.44
Dongshan Biao Mon,110.31,24.12
Khasi 2,92.0,25.5
Polci,9.83,10.32
Moshang,94.0,24.0
Northern Azad Kashmir Gujari,73.52,34.32
Rang Pas,79.33,30.33
Yolngumatha,136.75,-12.67
Nahuatl San Miguel Ayotla,-98.37,18.67
Malagasy Anatankarana Ambilobe,49.05,-13.18
Kuteb,10.0,7.17
Malagasy Sakalava Majunga,46.32,-15.72
Wusi Nonona,166.8,-15.27
Siamese 2,101.0,16.0
Auyana,145.75,-6.5
Kayah Western,97.0,18.0
Unami Unnamedinsource,-75.17,40.0
Letinese,127.67,-8.2
Ogulagha,5.67,4.92
Arbore,36.75,5.0
Abui Makadai,124.58,-8.25
Kewa S Pole,143.92,-6.5
Mituku,25.5,-1.67
Tiv 1,9.0,7.5
Tiv 2,9.0,7.5
Tolaki Mekongga,122.0,-4.0
Swati,31.0,-26.5
Rotokas,155.17,-6.0
Aja,25.67,7.33
Alur,31.25,2.42
Gor,17.08,8.0
Jamtlandic,14.67,63.0
Quechua Argentina,-63.07,-28.48
Lametin,166.94,-15.36
Sake 2,11.75,0.25
Mentawai,99.0,-1.5
Sake 1,11.75,0.25
Mada Cameroon,14.17,10.83
Arrarnta Western,132.5,-24.0
Chaoyang Chinese,116.58,23.25
Tho,105.3,22.6
Saho 2,39.75,14.75
Soukhne Syrian Arabic,44.0,33.0
Coptic,32.0,26.0
Lokele Yalemba,23.83,0.17
Nanai China,137.0,49.5
Secoya,-76.0,-0.33
Zoombo 1,15.0,-5.0
Mabire,18.6,11.65
Basketo,36.58,6.42
Kalianda Lampung Api,105.0,-5.0
Hungana,18.42,-3.67
Ormuri,69.75,32.5
Yavapai,-113.33,34.0
Nahuatl San Agustin Oapan,-99.42,17.92
S43 Swati,31.0,-26.5
Mbum,13.17,7.75
Sapuan,106.5,15.1
Alor Barahusa Kabir,124.0,-7.67
Pokot,35.5,1.5
Mawak,145.33,-4.61
Dibolug,142.33,-8.67
Makwa Alua,38.67,-15.0
Kongo San Salvador,15.0,-5.0
Pinai Hagahai Pinai 1,144.33,-5.33
Chamalal,46.05,42.55
Bamu 2,143.5,-8.0
French,2.0,48.0
Konda 2,132.0,-1.58
Tarpia,140.0,-2.33
Malgbe,14.83,12.42
Kusaie,163.0,5.3
Kamino,10.95,6.9
Khmer 2,105.0,12.5
Juruna,-54.5,-5.0
Mesmes 2,37.58,7.58
Proto Eastern Maku,-70.0,1.0
Tumak,17.33,9.5
Malagasy Sakalava Vezo Toliara,44.38,-23.13
Tarok,10.08,9.0
Curripaco,-68.5,2.5
Wolaytta,37.75,6.83
Italian Grosseto Tuscan,12.0,43.0
Moresada,145.0,-4.57
Peve Pala,14.9,9.36
Bragat,142.5,-3.5
Nilamba,34.83,-4.5
Manobo Ata,125.5,7.67
Lawele,122.75,-5.5
Jammun,73.2,34.33
Ngyepu,31.82,3.85
Cheyenne,-106.7,45.53
Edolo,142.69,-6.27
Pare,36.5,-4.0
Nyakyusa 2,33.67,-9.25
Nyakyusa 1,33.67,-9.25
Malagasy Southern Betsimisaraka Antaimoro Manakara,48.0,-22.1
Pari,32.5,5.0
Tikopia,169.0,-12.25
Liberian Kpelle,-10.0,7.0
Batu Atas,122.6,-5.47
Sipoma,147.25,-7.5
Ubir,149.2,-9.33
Sany,18.0,-3.0
Malagasy Southern Betsimisaraka Antambohoaka Mananjary,48.33,-21.22
Baikeno,124.3,-10.6
Kiliwa,-115.67,31.33
Tondano,125.0,1.25
Rendille 2,37.5,2.0
Mayaguduna,140.5,-18.17
Pumpokol,92.0,58.5
Hare,-125.0,67.0
Belize Kriol English,-88.63,17.39
Resigaro,-71.5,-2.42
Ma Manda,146.76,-6.32
Tambas,9.23,9.33
Tojolabal,-91.5,16.33
Dusun Deyah,115.58,-2.0
Wan,-5.8,7.8
Wam,142.83,-3.5
Turkish,35.0,39.0
Coatlan Loxicha Zapotec,-96.78,16.07
Shasta,-122.67,41.83
Mpotovoro Vovo,167.19,-15.92
Wau,143.83,-3.83
Jula Vehiculaire,-4.67,9.83
Lue Chieng Hung,100.67,22.0
Saoch,103.5,10.63
Dimasa,93.0,25.5
Takelma,-123.0,42.5
Kamang Letley,124.83,-8.25
Urimo,143.75,-3.75
Bagirmi,16.0,11.67
Desa Wali,122.65,-5.65
Ama 2,141.67,-4.17
Dahalo 2,40.5,-2.33
Yongan Chinese,117.37,25.98
San Pedro Quiatoni Zapotec,-98.23,17.8
Ujir,134.3,-5.58
Mongolian,105.0,47.0
Rondu Shina,74.0,36.0
Mashi Zambia,22.5,-16.5
Chinantec Sochiapan,-96.67,17.75
Wuliwuli,150.1,-24.53
Port Vato,168.1,-16.35
Kaman,96.0,29.0
Engenni,6.38,5.17
Mein,5.67,4.92
Malagasy Tsimihety,48.84,-15.9
Bomwali,16.0,1.58
Sila,21.75,12.33
Unua,167.61,-16.25
Malagasy Antankarana,49.15,-13.34
Bofi,17.25,4.0
Buhi,123.5,13.17
Faita,145.25,-5.6
Central Sierra Miwok,-120.33,38.0
Warembori,137.58,-1.67
Sibutu Southern Sama,118.5,4.5
Ntomba Njale,18.33,-2.0
Alta Southern,121.08,15.17
Degema 2,6.75,4.75
Tehit,132.0,-1.5
Tolaki Wiwirano,122.0,-4.0
Songum,145.84,-5.52
Ninilchik Russian,-151.54,59.99
Fang,10.32,6.54
Yahadian,132.1,-1.94
Kinaray-a,122.33,10.83
Lower Aranda,132.5,-24.0
Gengle,12.5,9.33
Sichule,96.0,2.67
Jacalteco Western,-91.83,15.83
Khwe,22.5,-17.5
Yakan,122.0,6.5
Macedonian Dzambazi Romanian,21.72,42.13
Narim Larim,33.46,4.26
Tieyaxo,-4.0,15.0
Catawba,-80.5,35.5
Batak Mandailing,100.0,1.0
Burji 2,37.83,5.5
Kryz,48.0,41.08
Avar Antsukh,46.31,42.48
Tafota Baruga,148.95,-9.05
Mbunda,22.33,-14.5
Fali Muchella,13.4,10.5
Saisiyat,121.1,24.58
Mbundu,15.1,-8.9
Lampung Nyo Abung Kotabumi,105.5,-4.67
Bakwe,-6.58,5.25
Koshin,10.33,6.58
Yaka Axk,16.25,2.67
Comox,-125.0,50.17
Ainu Shiraura,142.52,47.85
Chinantec San Felipe Usila,-96.5,17.92
Eudeve,-110.0,28.5
Zulgo,14.08,10.83
Malagasy Tandroy 2,45.25,-25.6
Malagasy Tandroy 1,46.14,-24.81
Kohumono,8.2,6.03
Tepes,34.75,2.58
Raga,168.16,-15.53
Munichi,-76.33,-5.83
Central Yasin Burushaski,74.5,36.5
Janjero,37.33,7.83
Usku,140.5,-3.67
Kichee Momostenango,-91.5,14.78
Kaleroang Bajau,123.0,-4.33
Lehalurup,167.35,-13.56
Ndi Ghari,159.75,-9.5
Southwest Tanna Ikiyau,169.4,-19.54
Yagua 2,-72.0,-3.5
Semai,101.67,4.33
Koroni,122.92,-4.58
Heyo,142.42,-3.83
Bauzi,137.5,-2.5
Langa Mbole Bambuli,24.67,-0.67
Kwakwala,-127.0,51.0
Lilau 2,145.0,-4.33
Proto Indo European 2,35.0,43.0
Hitigima Dani,138.5,-4.42
Kokoda Kasuweri,132.5,-2.17
Kamsa,-77.0,1.17
Bhojpuri,84.0,26.0
Kui Indonesia,124.55,-8.43
Taraon,96.0,28.42
Telefol,141.75,-5.0
Middle Egyptian,32.65,25.7
Ekparabong,8.67,6.08
Lambya,33.0,-9.25
Yanomam,-63.0,2.33
Barok,152.17,-3.5
Nahuatl Xaalitla Tepecuauilco,-99.53,18.02
Djapu,136.0,-12.67
Yemba 2,10.08,5.42
Yemba 1,10.08,5.42
Yaure,-5.55,6.96
B312 Himba,13.75,-16.5
Xiangyun Bai,100.56,25.47
Kaeti Dumut,140.83,-5.75
Nashta,22.98,40.74
Caddo,-93.5,33.33
Northern Embera,-77.17,6.83
Amedya Aramaic,43.5,37.1
Harsusi,56.05,20.0
Syrian Arabic,38.0,34.0
Proto Uralic,60.0,60.0
Lule Saami,20.67,67.25
Lawa La Up,98.0,18.17
Isamorong Ivatan,121.93,20.28
Tomini,120.83,0.58
Didinga,33.05,4.05
Mbugwe,35.83,-3.75
Bintulu,113.03,3.17
Coastal Konjo,120.33,-5.47
Wiradhuri,146.0,-34.0
Lilau,145.0,-4.33
Gagauz,28.67,46.33
Alta Northern,121.5,15.67
Siane,145.2,-6.08
Mam San Rafael Petzal,-91.83,15.0
Wagarabai,141.17,-4.5
Chatorkhand Khowar,73.84,36.35
Naga Mzieme,94.75,26.1
Yami 2,121.5,22.0
Chitwan,84.5,27.5
Bagrot Shina,74.0,36.0
Kaike,83.15,28.85
To,15.27,7.58
Kham Takale,83.6,28.26
Huariapano,-74.5,-9.0
Nahuatl San Pablo Zoquitlan,-97.02,18.32
Zeyarat Khorasani,57.88,37.43
Classical Syriac,38.8,37.15
Sherdukpen,92.5,27.0
Khinar Chilas Shina,74.0,36.0
Sherpur Hindko,73.15,34.41
Blagar Apuri Pura,124.25,-8.33
Trukese,151.75,7.33
Pangwali,76.12,32.55
Upper Pyramid Dani,138.5,-4.33
Putai,12.75,11.02
Lamalera,123.38,-8.58
Moroccan Arabic,-6.0,34.0
Proto Central Malayo Polynesian 2,129.5,-3.13
North Babar,129.8,-7.83
Tampuan,107.0,13.67
Jerung,86.3,27.2
As,131.67,-0.75
Naga Konyak,94.75,26.1
Au,142.08,-3.58
Washo,-120.0,39.25
Oyuomi Tcherre,14.0,-0.5
Lung Chow,106.8,22.5
Yate,145.58,-6.42
Gelao Wanzi,104.7,22.6
Sele,0.5,7.4
Kamor,130.83,-13.58
Lara,109.67,1.58
Mbede 2,14.0,-0.5
Kpelle Guinea,-9.0,8.0
Pela,98.35,24.35
Aza Irabu Miyako,125.19,24.81
Non,-16.83,14.83
Cheke Holo,159.67,-8.33
Dehong,100.5,23.5
Kadugli 2,29.67,10.83
Awara,146.75,-6.17
Benabena,145.5,-6.17
Aihui Manchu,127.5,50.25
Dellys,3.0,34.5
Noy,17.91,9.42
Tsambaan Yanz,18.0,-3.83
Nankina,146.45,-5.78
Nguluwan,137.57,8.56
Qiang Longxi,102.67,32.0
Anmatyerre,133.25,-22.0
Chocho Ocotlan,-97.42,17.67
Bisu,100.0,19.75
Yoba,149.28,-10.22
Manobo Ilianen,124.83,7.33
Ulcha,140.33,52.25
Kasanga,-15.92,12.33
Mbamba 1,14.0,-0.92
Mbamba 2,14.0,-0.92
Bisa,-0.5,11.5
Tugun,126.8,-7.72
Lavukaleve,159.2,-9.08
Mogum,18.58,11.58
Abron,-3.0,8.0
Tanahmerah,132.83,-2.67
Kui Thailand,104.0,14.5
Rumai,96.67,23.0
Koonzime,13.6,3.15
Lakota,-101.83,43.83
Tumawo,140.92,-2.67
Ghomara,-4.96,35.31
Asoa,26.72,2.27
Banna,36.5,5.0
Timbe,147.08,-6.17
Gweno,37.75,-3.67
Zulu,30.0,-30.0
Ruc 2,105.85,17.9
Uradhi Yadhaykenu,142.25,-11.75
Botala Bomitaba,17.5,1.67
Yamap,147.83,-7.0
Sidamo,38.3,6.75
Ngambay,16.0,8.67
Orkon,167.0,-16.25
Greek,22.0,39.0
Cabiyari,-71.0,0.15
Xamtanga 2,38.83,12.42
Kempee,23.17,3.58
Wiaki,142.33,-3.58
Kanju,143.0,-13.33
Sepoe,146.25,-8.33
Jiarong 2,102.0,31.5
Keuru,145.42,-7.67
Nu En,21.5,-24.0
Umbundu 2,15.0,-12.5
Mung Koi,105.08,20.5
Yil,142.15,-3.53
Pinzi,11.25,-1.97
Proto Micronesian,158.15,6.92
Nduumo,13.58,-1.67
Yir,142.18,-3.47
Proto Austronesian,150.0,-5.0
Chol Tila,-92.48,17.4
Nahuatl Santa Ana Tlacotenco,-99.02,19.18
Kire,144.75,-4.25
Ningming Yongnan Zhuang,107.59,22.1
Aka Bea,92.5,11.67
Wetawit,34.67,10.33
Sora 2,85.05,19.38
Dashkin Shina,74.0,36.0
Dumbea,166.5,-22.08
North Efate Woraviu,168.56,-16.87
Gbaya,24.05,8.05
Kazakh,70.0,50.0
Swabi Pashto,72.4,34.17
Karakalpak,60.0,43.0
Wadapi Laut,136.41,-1.87
Natanzi,51.9,33.5
Gugu Bujun,144.5,-18.75
Kaduo,101.83,22.25
Mokscha Mordwinisch,44.0,54.0
Nahuatl Xoxocotla Puente De Ixtla,-99.25,18.67
Lokele Isangi,23.83,0.17
Chiriguano,-64.33,-23.67
Mam San Ildefonso Ixtahuacan,-91.83,15.0
Tangko,140.4,-5.0
Kayardild,139.5,-17.05
Karkar Yuri,141.08,-3.75
Gengele,26.08,-2.08
Saparua Ouw,127.92,-3.5
Cuvok,14.0,10.67
Kaba Deme Sara,18.58,9.0
Kaure,140.08,-3.42
Wambule,86.67,27.33
Kumarbhag Paharia,87.33,25.0
Mlap,140.25,-2.58
Kamang,124.83,-8.25
Ndwama,18.0,-3.0
Ami,130.0,-13.5
Casuarina Coast Asmat,138.45,-6.3
Northern Gondi,81.0,19.0
Kulere,9.0,9.25
Mru,89.2,26.55
Aloapam Zapotec,-96.68,17.42
Suzhou Wu,120.6,31.3
Chin Zyphe,93.26,22.52
Wipi Podari,143.08,-8.75
Marindineesch,140.17,-7.83
Lele Guinea,-10.05,9.25
Feroge,25.75,8.67
Dusun Malang,114.92,-0.83
Fakai A,4.83,11.5
Tuscarora,-77.5,36.0
Iranun,116.43,6.35
Krui Lampung Api,105.0,-5.0
Tona Rukai,120.83,22.83
Boepinang Bajau,123.0,-4.33
Yay 2,104.75,22.42
Tukang Besi Northern,123.5,-5.5
Ngombe Car,15.25,3.92
Bodo,26.0,6.0
Buja,22.67,2.5
Miami,-90.0,40.0
Bezhta 2,46.17,42.08
Yali Pass Valley,139.25,-3.75
Taveta,37.75,-3.33
Purigal Phalura,71.87,35.6
Chiapanec,-92.73,17.07
Ndonga 2,17.0,-18.0
Hedian Bai,100.55,25.47
Yis,141.83,-3.5
Meriam,144.08,-9.92
Hunza Shina,74.0,36.0
Paanci,9.33,11.0
Mulao Kadai,107.8,26.68
Upper Sorbian,14.5,51.83
Dehong Tai Nuea,100.5,23.5
Chamorro,144.75,13.45
Elpaputih Seram 3,127.98,-5.03
Elpaputih Seram 2,127.98,-5.03
Elpaputih Seram 1,127.98,-5.03
Defaka,7.5,4.58
Zoe,-55.52,-1.9
Central Gojal Wakhi,72.0,36.5
Ingura,136.5,-14.0
Ojibwa Severn,-90.0,53.0
Soboyo,124.55,-1.62
Kumba,12.0,8.83
Zimba,26.67,-4.0
Keapara,148.0,-10.08
Pak Tong,147.67,-2.08
Black Tai 2,103.08,21.67
Senufo Cebaara,-6.15,9.51
Morori,140.67,-8.58
Oyuomi Mbama,14.0,-0.5
Waris,141.0,-3.17
East Ambae Lolomatui,167.92,-15.37
Kichee Joyabaj 1,-90.87,15.0
Kichee Joyabaj 2,-90.87,15.0
Yahang,142.33,-3.75
Semai 2,101.67,4.33
Fulnio,-37.5,-8.0
Todrah Unnamedinsource,108.08,14.58
Iliamna Tanaina,-154.0,59.96
Santomense,6.62,0.3
Darai,84.0,24.0
Mandi Papuang,143.75,-3.58
Dungan,74.3,42.86
Taiap,144.5,-4.08
Proto Indo European,35.0,43.0
Khorat Thai,102.1,14.98
Vatrata Sasar,167.5,-13.74
Gothic,25.62,43.22
Matlatzinca San Francisco Oxtotilpan,-100.05,19.03
Enya Manda,25.25,-0.5
Kuku Uwanh,142.0,-14.42
Lama,1.17,9.67
Biritai,137.67,-2.92
Mountain Koiari 2,147.5,-9.0
Mailoa,127.5,0.0
Ngombe Likula,23.0,3.0
Guugu Yimidhir,144.83,-15.0
Dakaka Baiap,167.97,-16.28
Usui,91.79,23.01
B87 Mbuun Labaempi,19.33,-5.17
Dhaiso,38.83,-4.83
Nyunga South Western,122.0,-33.75
Paresi,-57.0,-14.0
Asienara,133.33,-3.5
Tiruray,124.17,6.75
Roviana,157.33,-8.25
Triqui San Martin Itunyoso,-97.9,17.07
Bogongo,16.25,3.58
Sangu 1,11.83,-1.5
Wandala,13.75,11.5
Banjar Sari Enggano,102.25,-5.42
Mehri 2,51.5,17.0
Mam Tectitan,-92.08,15.42
Diola,-16.0,13.0
Li Tongshi,109.33,18.75
Surigaonon,126.0,9.0
Bira Sedzabo,30.0,1.25
Ayoreo 2,-59.25,-20.25
Mounda Dibole,17.25,1.08
Innemor,38.0,8.0
Mvuba,29.25,-1.67
Kosorong,147.47,-6.5
Kowiai,133.83,-4.0
Nahuatl Pomaro Aquila,-103.0,18.5
Yagaria,145.42,-6.33
Limonese Creole,-83.25,10.0
Banua,165.87,-10.78
Arara Pano,-71.33,-8.0
Bunak 2,125.33,-9.17
Chrau 2,107.5,10.75
Chorotega,-85.63,11.07
Eastern Oromo,42.0,9.0
Paraujano,-71.92,10.83
Biami,142.5,-6.17
Barim,147.92,-5.83
Gunya,145.86,-27.06
Kunama,37.0,14.5
Nootka,-126.67,49.67
Makonde,40.0,-11.0
Psikye,13.67,10.58
Nahuatl Del Norte Del Estado De Puebla,-98.25,20.0
Imroing,129.8,-7.95
Quileute,-124.25,47.92
Olamentke,-123.0,38.33
Tscheremissisch Urzum,48.0,57.0
Marphatan Thakali,83.45,29.0
Wawonii,123.17,-4.08
Walmajarri,125.75,-19.5
Peere,12.42,7.75
Esperanto,23.09,53.08
Nishihara Miyako,125.29,24.83
Mpiin 1,19.33,-5.17
Efutu,-0.75,5.33
Western Quiche Momostenango,-91.41,14.04
Saramaccan,-55.5,4.5
Mbukushu,22.83,-18.0
Elkei,142.08,-3.42
Genyanga,0.83,8.11
Kalam,144.58,-5.25
Nkoro,7.42,4.58
Ojila,30.0,4.67
Tara,120.0,-1.17
Shuri,127.0,26.5
Caquinte,-73.5,-11.5
Shona 2,31.0,-18.0
Ivasay Ivatan,121.83,20.18
Kurux Nepali,86.0,26.6
Yidiny,145.75,-17.0
Mato,146.85,-5.9
Gros Ventre,-109.0,48.5
Peve Lame,14.5,9.0
Proto Greater Tzeltalan,-89.08,15.58
Dass Dwat,9.53,10.02
Kirikiri,137.17,-3.0
Vute Yoko,12.17,5.17
Bilakura,145.57,-4.89
Raute,80.58,29.3
Kiwai Southern,143.25,-8.58
Hawyiengz Zhuang,108.23,23.73
Konja Sundani,11.67,6.42
Kutchin,-146.0,67.0
Italian,12.0,43.0
Chin Tedim,93.67,23.33
Resigaro 2,-71.5,-2.42
Sivisa Titan,147.08,-2.17
Haku,155.67,-5.0
Futu,13.3,10.4
Delaware Munsee,-74.67,41.5
Idaan,118.83,5.25
Avestan 2,66.87,36.77
Yonggom,140.92,-5.75
Sena,35.32,-18.0
Biatah Bidayuh,110.0,1.25
Arawete,-52.24,-5.0
Yoidik,145.77,-4.94
Lhasa Tibetan,91.1,29.65
Karipuna Creole,-51.5,3.83
Lianshan Central Hongshuihe Zhuang,108.2,22.44
Waimaha 2,-70.25,0.33
Otomi Temoaya,-99.5,19.42
Kamasa,146.17,-7.0
Mono Congo,19.0,4.0
Tulishi,29.17,11.42
Isangu,11.83,-1.5
Torres Strait Creole,143.0,-10.17
Samoan 2,-171.83,-13.92
Pajade,-13.7,12.67
Zhenfeng Gelao,105.8,27.16
Neme,141.85,-8.45
Sre,108.0,11.5
Kemant,37.42,12.67
Senoufo Tagwana,-5.25,8.75
Juray,83.55,21.5
Southern Kambera,120.17,-9.83
Kwangali 2,19.5,-18.0
Fuliru,29.0,-3.08
Amuesha 1,-75.42,-10.5
Kaugat,138.67,-6.33
Pwaamei,164.75,-20.83
Tsou,120.8,23.5
Orig,30.83,12.02
Tyap,8.17,9.92
Dongying Lingao,109.68,19.91
Lom,105.92,-1.67
Aomie,148.08,-9.05
Lou,147.32,-2.38
Koyra Chiini,-3.0,17.0
Padei Laut Bajau,123.0,-4.33
Paharpur Santali,87.0,24.5
Balanta,-15.33,12.25
Zuni,-108.83,35.08
N Itelmen,158.0,57.5
Karshi,8.08,8.67
Tetela Yyondo,24.0,-4.0
Botteng,119.0,-2.92
Wetamut Dorig,167.58,-14.31
Temiar,101.5,5.0
Phana,101.98,21.94
Songkhla Thai,101.0,7.19
Nahuatl Ixtacamaxtitlan,-97.82,19.62
Torwali,72.0,34.25
Baetora Nasawa,168.14,-15.28
Chaudangsi,80.48,29.7
Laadi 2,15.0,-4.0
Mulonga 1,22.62,-15.78
Mulonga 2,22.62,-15.78
Arbore 2,36.75,5.0
Bamu,143.5,-8.0
Ngondi,16.08,1.67
Yom,1.83,9.83
Lewo Nuvi,168.22,-16.63
Chipewyan,-106.0,59.0
Hezhe,137.0,49.5
Lengo 2,160.42,-9.5
Shekhani,71.6,35.33
Bete Daloa,-6.25,6.25
Wirafed,-62.74,-11.19
Sougb,134.0,-1.5
Manihiki,-161.0,-10.08
Awyu Asue,139.17,-5.17
Lega Shabunda 2,27.17,-2.83
Lela,5.33,11.33
Parawen,145.42,-5.0
Lele,147.25,-2.0
Murung Siang,114.8,-0.3
Wipi Abam,143.08,-8.75
Pochutla Nahuatl,-96.5,15.75
Sango,18.0,5.0
O Kung,18.75,-17.0
Malfaxal,167.53,-16.56
Saba,18.42,11.33
Luobenzhuo Bai,98.9,26.42
Ainu Obihiro,143.2,42.92
Tagbanua Aborlan,118.5,9.45
Thayore,141.5,-14.35
Gilyak Amur,142.0,53.33
Miwok Bodega,-123.0,38.33
She,35.8,7.07
Shanglin Central Hongshuihe Zhuang,108.2,22.44
Tangut,106.27,38.47
Nggem,139.0,-3.67
Riang White Striped,97.55,20.92
Waimiri Atroari,-60.5,-0.5
Atalla,-74.87,-12.76
Jomang,30.5,10.58
Xibe,81.18,43.83
Mpe,18.0,-3.0
Kalagan Tagakaolo,125.42,6.42
Bo,141.5,-4.33
M62 Soli,28.87,-15.5
Mpi,100.3,18.15
Gidole,37.42,5.58
Bu,10.25,6.58
Kamale,13.55,10.62
Gope,143.5,-8.0
Wutung,141.17,-2.58
Dobu,150.75,-9.75
Safaliba,-2.55,9.0
Otuke,-56.07,-15.57
Cinta Larga,-60.8,-11.0
Kung Ekoka,18.0,-19.67
Abujhmaria,81.0,19.5
Letemboi,167.58,-16.47
Sabaot,34.75,1.0
Luluba,31.63,4.58
Kunda,30.75,-16.08
Naga,123.5,13.33
Polish,20.0,52.0
Wemba Wemba,144.18,-35.56
Kyaimbarang,143.83,-4.58
Shehri,55.0,17.5
Tukang Besi Southern,123.75,-5.75
Arikara,-100.5,45.5
Yunggor,130.42,-13.83
Lega Shabunda,27.17,-2.83
Amoy Minnan Chinese,118.0,25.0
Chol Tumbala,-92.5,17.75
Ligurian Stella,8.95,44.42
Naga Tarao,94.17,24.25
Rumu,144.25,-7.17
Klingon,-118.33,34.1
Rolom,108.5,12.67
Sampang,86.78,27.2
Ttsakwambo,140.25,-5.33
Ama Africa,29.33,12.17
Buli,128.5,1.0
Otomi De San Andres Cuexcontitlan,-99.67,19.58
Umbu Ungu,144.08,-6.0
Kabola Pitumbang,124.05,-8.17
Li Baoding,109.33,18.75
Tetserret,6.27,15.45
Timucua,-82.5,30.25
Huba,13.17,10.33
Yanz 1,18.0,-3.83
Hube,147.5,-6.5
Yanz 3,18.0,-3.83
Ksinmul,104.0,21.08
Kazukuru,157.48,-8.3
Yakouba,-8.15,7.27
Hussainabad Hunza Burushaski,74.5,36.5
Kalinga Guinaang,121.08,17.42
Puragi 2,132.33,-2.0
Siviri Uaripi,145.75,-7.92
Hawai Creole English,-158.0,21.5
Karata,46.33,42.58
Swahili Mwani,40.23,-11.2
Enwang,8.25,4.75
Icari Dargi,47.58,42.0
Bomwali 2,16.0,1.58
Zizilivakan,13.52,10.25
Ngala,142.5,-4.25
Angguruk Yali,139.2,-4.0
Xoon,21.5,-24.0
Quechua Pacaraos,-76.65,-11.19
Brookes Point Palawan,117.92,8.83
Likoka,18.25,2.0
C301 Bodo 1,26.0,6.0
Haida,-132.0,53.0
Atta Pamplona,121.25,18.42
Carijona,-73.0,1.0
Nde Bukwok,11.0,6.67
Bukiyip,143.17,-3.42
Cibak,12.76,11.16
Demta Muris,140.17,-2.33
Pulabu,145.78,-5.57
Otomi Mezquital,-99.17,20.17
Luang,128.0,-8.17
Bunor,107.58,12.5
Tumzabt,3.05,32.05
Hungarian Vend Romani,18.22,46.43
